,mean_bandwith_task1,V2,mean_loss_task1,mean_loss_task2,mean_loss_task3,mean_loss_task4,mean_loss_task5,mean_loss_task6
1,0.01,-4.605170186,-0.658801789,-0.491101284,-0.412966771,-0.784905101,-0.152498109,-1.111498894
2,0.325263158,-1.123120708,-0.268697571,-0.109598824,-0.04606057,-0.401501541,-0.053811476,-0.04757552
3,0.640526316,-0.445465072,-0.259956507,-0.102980982,-0.042967879,-0.309294904,-0.049862251,-0.038800625
4,0.955789474,-0.045217606,-0.249473185,-0.098744748,-0.041967958,-0.247597795,-0.047616992,-0.037956052
5,1.271052632,0.239845401,-0.234681972,-0.09357019,-0.041378567,-0.219292981,-0.045903799,-0.037534337
6,1.586315789,0.461414214,-0.21749532,-0.087658649,-0.04090025,-0.202703505,-0.044486791,-0.037233771
7,1.901578947,0.642684566,-0.200055162,-0.081548581,-0.040480261,-0.188535449,-0.043207186,-0.036988798
8,2.216842105,0.796083708,-0.183612119,-0.075726488,-0.040095648,-0.175057972,-0.041984618,-0.036778836
9,2.532105263,0.929051077,-0.168692081,-0.070531972,-0.039728591,-0.162355518,-0.040790091,-0.036589387
10,2.847368421,1.046395207,-0.155407285,-0.066129963,-0.039367572,-0.150655381,-0.039618883,-0.036408798
11,3.162631579,1.151404459,-0.143674276,-0.062538217,-0.0390067,-0.140050615,-0.038476608,-0.036229464
12,3.477894737,1.24642715,-0.133334163,-0.059679052,-0.038643441,-0.130522517,-0.037372821,-0.036047462
13,3.793157895,1.33319889,-0.124211241,-0.057428958,-0.038276806,-0.121993309,-0.036317582,-0.035861207
14,4.108421053,1.413038783,-0.116138694,-0.055654403,-0.037906378,-0.1143623,-0.035319487,-0.0356702
15,4.423684211,1.486972881,-0.108968118,-0.054232716,-0.037531886,-0.107525602,-0.034384773,-0.035474254
16,4.738947368,1.555815037,-0.102571562,-0.053061459,-0.037153066,-0.101385505,-0.033517132,-0.035273161
17,5.054210526,1.620221663,-0.0968404,-0.052060511,-0.036769656,-0.095854213,-0.032717909,-0.035066613
18,5.369473684,1.680729893,-0.091683045,-0.051170285,-0.036381451,-0.090854714,-0.031986463,-0.03485422
19,5.684736842,1.737784836,-0.087022443,-0.050348328,-0.035988373,-0.086320312,-0.031320547,-0.03463557
20,6,1.791759469,-0.082793724,-0.049565629,-0.035590518,-0.082193613,-0.030716688,-0.03441027
